"id_category";"category_name";"description";"parent_id";"level_depth";"position";"date_add";"date_upd";"active"
"0";"HOME";"หมวดหมู่หลัก";"0";"0";"0";"2014-09-01";"2014-09-01 00:00:00";"1"
"1";"เสื้อ";;"0";"1";"1";"2014-09-09";"0000-00-00 00:00:00";"1"
"2";"กางเกง";;"0";"1";"2";"2014-09-09";"0000-00-00 00:00:00";"1"
"3";"อุปกรณ์";;"0";"1";"3";"2014-09-09";"0000-00-00 00:00:00";"1"
"4";"สนับแข้ง-ถุงเท้า-รองเท้า";;"0";"1";"4";"2014-09-09";"0000-00-00 00:00:00";"1"
"5";"เบอร์-ตัวอักษร สำหรับรีด";;"0";"1";"5";"2014-12-08";"0000-00-00 00:00:00";"1"
"6";"WA-1001-1009";;"1";"2";"6";"2016-02-05";"2016-02-05 17:55:38";"1"
"13";"WA-1501-1509";;"1";"2";"7";"2016-02-05";"2016-02-05 17:56:50";"1"
"14";"WA-1510-1519";;"1";"2";"8";"2016-02-05";"2016-02-05 18:02:36";"1"
"15";"WA-1520-1529";;"1";"2";"9";"2016-02-05";"2016-02-05 18:09:45";"1"
